mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.27287898063659666,0.036284074297332825,0.022710466384887697,0.0023497151755585252,8,5,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",-0.3536526494776965,-0.3419630495350579,-0.3492179034381794,-0.34093350992166227,-0.33615772193678695,-0.3443849668618766,0.006240400862503097,43,-0.33337632135973416,-0.33706944280594525,-0.3361668038568903,-0.33782933306319024,-0.337209505765357,-0.3363302813702234,0.0015696595671787163
0.27089552879333495,0.04077880922807975,0.03356528282165527,0.005487557309046354,8,5,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",-0.3536526494776965,-0.3419630495350579,-0.3492179034381794,-0.34093350992166227,-0.33615772193678695,-0.3443849668618766,0.006240400862503097,43,-0.33337632135973416,-0.33706944280594525,-0.3361668038568903,-0.33782933306319024,-0.337209505765357,-0.3363302813702234,0.0015696595671787163
0.3012558937072754,0.034771415219653545,0.02601461410522461,0.0019436247527857878,8,10,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",-0.3575552088661971,-0.3474719683851171,-0.3515253119820266,-0.34264607878268116,-0.3362767582152412,-0.34709506524625267,0.007294011163085236,46,-0.33818937995887355,-0.34230774379578216,-0.3393513827613838,-0.3429998599158419,-0.34296081405954687,-0.34116183609828565,0.0020020486755329956
0.278790283203125,0.033356985060977416,0.024136877059936522,0.0045000162347074175,8,10,5,"{'model__max_depth': 8, 'model__min_samples_leaf': 10, 'model__min_samples_split': 5}",-0.3575552088661971,-0.3474719683851171,-0.3515253119820266,-0.34264607878268116,-0.3362767582152412,-0.34709506524625267,0.007294011163085236,46,-0.33818937995887355,-0.34230774379578216,-0.3393513827613838,-0.3429998599158419,-0.34296081405954687,-0.34116183609828565,0.0020020486755329956
0.3446652889251709,0.0493575408687189,0.02884831428527832,0.005564630708733847,8,10,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 10, 'model__min_samples_split': 10}",-0.3575552088661971,-0.3474719683851171,-0.3515253119820266,-0.34264607878268116,-0.3362767582152412,-0.34709506524625267,0.007294011163085236,46,-0.33818937995887355,-0.34230774379578216,-0.3393513827613838,-0.3429998599158419,-0.34296081405954687,-0.34116183609828565,0.0020020486755329956
0.32195563316345216,0.04670826145833118,0.031125926971435548,0.003756942495004974,6,1,2,"{'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",-0.3916913323211935,-0.38177146129450806,-0.3817077389600653,-0.37927697475887395,-0.38265772571422435,-0.38342104660977305,0.004285094418059095,49,-0.3759177792892738,-0.3774848083372517,-0.37886250905818264,-0.3798222229156118,-0.376899491876588,-0.3777973622953816,0.0013907761646074568
0.2885456562042236,0.02898630080085091,0.031836652755737306,0.008558869931681787,6,2,10,"{'model__max_depth': 6, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10}",-0.39214846762638705,-0.38329671476589716,-0.38093542097925626,-0.3791283524643754,-0.38206879233103164,-0.3835155496333895,0.0045293008585577995,50,-0.37577415450064366,-0.37822816989854185,-0.3793794574718328,-0.3803101731155151,-0.3773089083477442,-0.37820017266685557,0.0015826253264046462
0.35225706100463866,0.04940302132978889,0.03029017448425293,0.010781010620800271,6,1,10,"{'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",-0.39170930902980733,-0.3829575727634402,-0.381155297316459,-0.37922771576707287,-0.3826396428942625,-0.38353790755420836,0.004293484708975286,51,-0.3759802322817027,-0.3781043834848894,-0.3795519197815567,-0.3803942185737984,-0.3772046408764287,-0.37824707899967513,0.0015848312913586489
0.2908607006072998,0.01910856861454415,0.03665771484375,0.011278437889730158,6,2,5,"{'model__max_depth': 6, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5}",-0.3921276707643305,-0.3832891865563988,-0.38093286213526706,-0.37925754622529184,-0.3820868751509935,-0.38353882816645635,0.004495756658875025,52,-0.3757408007845623,-0.37808191325021506,-0.37926941809192743,-0.38008625310405997,-0.377173914215466,-0.3780704598892461,0.0015318067714535013
0.3826413631439209,0.06921624582979645,0.036538314819335935,0.0032053705170388726,6,1,5,"{'model__max_depth': 6, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5}",-0.3916885121677508,-0.3829500445539419,-0.3811519870995839,-0.37934888957638835,-0.38265772571422435,-0.38355943182237784,0.004261239962933622,53,-0.37594687856562126,-0.37780869705482606,-0.3792745450267928,-0.37986103360604895,-0.376920216962414,-0.3779622742431406,0.0014490431873418295
0.2932900905609131,0.023181306351231674,0.03484296798706055,0.0036428301344931953,6,2,2,"{'model__max_depth': 6, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2}",-0.39213049091777324,-0.3832891865563988,-0.38151234037757487,-0.37921565942155167,-0.3820868751509935,-0.38364691048485844,0.0044435388856766105,54,-0.3757396293389595,-0.37808191325021506,-0.37913590259131025,-0.3800801075256254,-0.377173914215466,-0.37804229338431516,0.0015104026875364847
0.3015249252319336,0.018357379895725574,0.035467338562011716,0.010759785390666871,6,5,5,"{'model__max_depth': 6, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5}",-0.3918646438345946,-0.38230808803200017,-0.38798614385130265,-0.3782863787430162,-0.38067642405556956,-0.3842243357032966,0.004980853821254974,55,-0.37692591796100283,-0.37896967672370646,-0.38090877529656253,-0.38027792236764724,-0.37787346662410026,-0.3789911517946039,0.0014729514933899698
