mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
34.37923343976339,0.94967914093776,5.109182357788086,0.40551677200932823,300,2,1,sqrt,20,True,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__bootstrap': True}",-0.2439038285405769,-0.23180957643736175,-0.23696492318161488,-0.2375594427198512,0.004955321960279311,21,-0.17958717263738103,-0.18299121882233021,-0.18692486658271673,-0.18316775268080931,0.0029982007116764998
12.414862871170044,2.815061773856542,3.91457192103068,0.9664207518023492,100,5,1,sqrt,20,True,"{'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__bootstrap': True}",-0.24779388313954756,-0.23578331001459277,-0.24188588325521496,-0.2418210254697851,0.004903510415795316,22,-0.19546248639243466,-0.19790102082237804,-0.19986573180247322,-0.19774307967242866,0.001801083301866206
16.279858191808064,0.7898793440863976,6.98470417658488,0.37575187308703184,200,10,4,sqrt,,True,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__bootstrap': True}",-0.25097975975131437,-0.23677009056665935,-0.2383397987047166,-0.24202988300756342,0.00636088129145226,23,-0.20176264692300522,-0.20232122333056551,-0.19899785580785176,-0.20102724202047417,0.0014529987842979938
45.170566399892174,0.4488918213153781,9.28536836306254,0.47540714006756796,500,10,4,sqrt,20,True,"{'model__n_estimators': 500, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__bootstrap': True}",-0.288658771306709,-0.2713795802256079,-0.27582258935792836,-0.2786203136300817,0.007326347745479945,24,-0.24743260460662342,-0.2503863143008761,-0.24925031544792764,-0.2490230781184757,0.0012165053342540668
26.08802278836568,0.16490636873614048,6.073965469996135,0.23713922021482994,300,5,2,0.5,10,True,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 10, 'model__bootstrap': True}",-0.2978611256880486,-0.2934749913637236,-0.2911403043710543,-0.29415880714094217,0.002786044125831588,25,-0.28170520925604764,-0.28370762749587264,-0.2841790288092602,-0.2831972885203935,0.0010724676212312241
43.673850218454994,3.013179161713054,5.4421706199646,2.024059238514095,300,5,4,0.5,10,True,"{'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': 10, 'model__bootstrap': True}",-0.3028567159899196,-0.2978706865892484,-0.2921493692470475,-0.2976255906087385,0.004374690282200562,26,-0.28728482680746265,-0.287692443985073,-0.2876584037735898,-0.28754522485537515,0.00018465290234552005
25.57347361246745,1.3821252701008604,8.797317743301392,1.1082528146427888,200,10,4,0.5,10,True,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': 10, 'model__bootstrap': True}",-0.304402436937494,-0.29775426550749456,-0.2935722973476383,-0.2985763332642089,0.004459434002308082,27,-0.2890026782116215,-0.2880972472470904,-0.2896105738091,-0.28890349975593727,0.0006217805590264502
193.18370588620505,5.053318960139845,9.212070067723593,0.5481935150746068,500,5,1,1.0,10,True,"{'model__n_estimators': 500, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 1.0, 'model__max_depth': 10, 'model__bootstrap': True}",-0.30515207400221317,-0.30145831005427615,-0.29963568249812167,-0.30208202218487035,0.002294835712782213,28,-0.28744018642967073,-0.2906307661856961,-0.2908450340687781,-0.2896386622280483,0.0015570162830381854
80.89727075894673,0.6268409254069686,2.4790953000386557,0.08274559562245135,300,2,1,1.0,10,True,"{'model__n_estimators': 300, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 1.0, 'model__max_depth': 10, 'model__bootstrap': True}",-0.3050141761758494,-0.30148896354597343,-0.2997473327322205,-0.3020834908180144,0.002190891290901896,29,-0.2866049306993276,-0.2900426496952545,-0.2905040652387415,-0.2890505485444412,0.001739542288303926
15.770319302876791,1.351029981600287,8.690533796946207,0.7046382905059116,200,2,1,sqrt,10,True,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__bootstrap': True}",-0.4051675019938352,-0.3860571223567403,-0.39500922175618375,-0.3954112820355864,0.007806958085352591,30,-0.3788029426284181,-0.3880862180441297,-0.3825110776982415,-0.3831334127902631,0.0038153441379129268
